0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
-0.0611,0.0153,0.2672,0.0706,0.3213,-0.3972,-0.0458,0.0076,0.1221,0.0708,0.3228,-0.417,-0.0305,0.0687,0.1069,0.071,0.2993,-0.4075,-0.0916,0.084,0.0611,0.0688,0.3215,-0.3911,0.1221,0.2061,0.1374,0.0742,0.3257,-0.3909,-0.0687,0.1832,0.1069,0.0713,0.3235,-0.3909,0.1221,0.0534,0.0382,0.0811,0.3174,-0.4167,0.0916,0.0916,0.2977,0.0703,0.334,-0.4204,0.3206,-0.6107,0.5802,0.0686,0.3252,-0.3875,-1.1374,-7.3511,3.4427,0.1011,0.3423,-0.47,-6.2519,-10.3588,9.1145,0.4167,0.1038,-1.1716,-6.6718,24.9695,-4.084,0.3457,-0.2544,-1.335,-9.8473,40.9008,-20.5344,-0.2285,0.009,-1.0449,-22.0382,59.8473,-29.0611,-0.6172,-0.1418,-0.9514,-20.9237,88.7405,-48.0458,-1.2107,-0.3381,-1.0698,-17.4809,58.0534,-16.1298,-1.5063,0.1667,0.1775,1.0916,39.374,-16.8855,-0.9014,0.1851,0.0376
-0.3817,-0.4809,-0.1298,-0.0122,0.4788,-0.1685,-0.145,0.5191,-0.374,0.0476,0.4692,-0.2712,0.145,1.374,0.7328,0.1099,0.4819,-0.4248,0.0763,6.2672,0.8473,0.1934,0.4001,-0.6216,1.8244,17.1985,-3.7786,0.1033,0.395,-0.6575,0.6412,26.458,-6.4733,-0.0176,0.3533,-0.6914,3.4351,33.2977,-8.3053,-0.1687,0.2581,-0.7302,4.3817,41.4198,-11.7099,-0.5671,0.2576,-0.5962,-3.2061,40.8321,-21.855,-0.6604,0.0723,-0.4448,-6.2824,37.855,-29.3053,-0.9956,0.4521,0.0713,-12.0076,9.2748,-20.0305,-0.6641,0.5583,0.1086,-11.0611,10.3282,-16.0992,-0.4517,0.3628,0.0427,1.229,3.4656,-4.7099,-0.5134,0.5989,0.2344,-1.7252,-1.8855,-2.8092,-0.3062,0.4988,-0.0454,2.1527,-3.0687,0.687,-0.2549,0.498,-0.072,-0.1527,-1.5954,1.2901,-0.2012,0.4949,-0.1692,0.8702,-1.6336,1.2901,-0.1938,0.436,-0.1265
-0.0534,-0.5267,0.0763,-0.0559,0.4897,-0.1145,0.9695,-1.2595,0.7099,-0.0151,0.4666,-0.1362,2.542,-1.3817,1.4122,0.0476,0.4951,-0.262,4.7634,-0.1985,4.2443,0.1399,0.4778,-0.4429,5.2137,7.2214,6.3511,0.1746,0.386,-0.5342,8.1985,16.3893,0.1756,0.1282,0.283,-0.6089,11.084,26.0534,-7.5191,-0.0393,0.2778,-0.7153,8.8855,33.0153,-16.6718,-0.231,0.137,-0.7512,3.3511,37.2061,-19.2672,-0.5398,0.2627,-0.5176,-10.1756,41.9084,-32.2824,-0.6882,0.2612,-0.4458,-9.5649,33.916,-30.3053,-0.7095,0.4043,-0.2473,-6.458,26.8321,-24.855,-0.5508,0.2373,-0.2493,-7.4046,23.1679,-18.0305,-0.7017,0.6099,0.1619,-2.5802,5.313,-12.1908,-0.4294,0.4617,-0.0181,-2.6489,0.8702,-7.9466,-0.3604,0.4766,-0.1672,0.458,1.229,0.626,-0.3716,0.5264,-0.0813,0.9695,-3.6718,1.626,-0.2463,0.4111,-0.1753
-0.4885,0.7481,-0.458,0.0115,0.4915,-0.1511,-0.3053,0.3817,0.0305,0.0303,0.4915,-0.135,-0.0992,-0.0763,-0.0382,0.02,0.4812,-0.1526,-0.4733,-0.5954,0.0916,0.0312,0.4888,-0.1677,-1.0305,-1.229,-0.5267,0.0327,0.4502,-0.1907,0.8473,-0.8244,1.6031,0.1387,0.4875,-0.3557,1.9084,0.4504,3.4275,0.2627,0.3628,-0.6008,2.6412,18.7557,-2.855,0.2476,0.4246,-0.9602,2.7557,30.3053,-5.8855,-0.0347,0.2163,-0.8184,5.7099,47.1679,-13.3893,-0.4417,0.2539,-0.7253,5.4427,51.3053,-23.9695,-0.6689,0.1194,-0.7327,-2.3664,51.7939,-33.9847,-0.9263,0.157,-0.6362,-5.9237,32.6412,-32.5573,-0.938,0.2068,-0.0964,-8.3588,20.5115,-18.7405,-0.8848,0.5862,0.3054,-6.8855,12.8473,-17.9313,-0.6199,0.4561,0.1057,-2.8015,0.8092,-3.9237,-0.5071,0.4426,0.0906,0.4427,-1.2443,-0.7863,-0.3708,0.5125,-0.0627
-0.084,0.5954,0.374,-0.075,0.4705,-0.1008,-0.3206,-0.2061,0.0076,-0.0471,0.4844,-0.1533,0.6412,-0.313,-0.2214,-0.0608,0.4861,-0.123,0.3511,-1.3588,0.1679,-0.0544,0.478,-0.1094,0.771,-4.3588,1.3053,0.0183,0.4873,-0.2119,6.771,-4.5802,7.0076,0.125,0.4915,-0.384,15.6031,-0.1985,9.313,0.3047,0.2935,-0.9607,11.4504,24.3817,-2.4046,0.1157,0.1326,-1.0542,11.7405,33.5649,-15.2366,-0.2605,0.1716,-0.8369,-5.9542,41.8168,-27.2748,-0.6536,0.2471,-0.7334,-15.9542,50.7328,-34.4733,-0.7903,0.0708,-0.6045,-3.5496,42.4962,-33.1374,-1.093,0.0388,-0.0935,-6.7099,26.6641,-27.2748,-0.7717,0.4558,0.0459,-10.9313,14.0611,-21.8092,-0.8682,0.4802,0.427,-4.8092,2.7176,-8.8779,-0.5349,0.4873,0.0959,0.9618,-1.4656,-0.3206,-0.478,0.5603,0.0359,-0.5344,-4.1527,0.4275,-0.2292,0.4136,-0.2222
-0.3435,0.1603,0.0763,-0.0508,0.5044,-0.1333,-0.0153,0.1221,0.2443,-0.0439,0.4761,-0.1316,-0.1832,0.3359,0.2443,-0.0393,0.4971,-0.1233,-0.1069,-0.3588,0.0458,-0.03,0.479,-0.1462,0.8397,-1.9924,1.4733,0.021,0.4824,-0.2227,1.7099,-2.0076,5.3053,0.1313,0.488,-0.4597,7.1374,7.0382,9.4427,0.3049,0.4016,-1.0464,13.1679,25.4962,0.2137,0.0911,0.0601,-0.9167,19.0534,42.229,-11.9389,-0.3506,0.1663,-0.8916,1.9466,45.6183,-29.3664,-0.6951,0.1646,-0.9478,-14.2977,49.3969,-36.4122,-1.2812,0.2659,-0.2339,-7.9695,36.8779,-40.4198,-0.7334,0.2236,-0.2356,-9.229,28.9237,-29.7099,-0.9653,0.3359,0.1404,-5.4656,11.0305,-15.5038,-0.7554,0.6873,0.2646,-1.1221,1.1603,-4.3817,-0.5457,0.5574,0.1169,-1.8397,-4.5038,-1.3893,-0.2883,0.3936,-0.1702,0.4885,-2.5802,0.4122,-0.2405,0.4595,-0.2107
-0.1527,0.2595,-0.1069,-0.0962,0.4893,-0.0635,-0.2214,0.6412,0.0,-0.0876,0.5037,-0.124,-0.0687,0.2595,0.1145,-0.1042,0.5005,-0.0496,-0.1832,0.2824,0.1145,-0.0876,0.4756,-0.0872,0.3588,-0.5878,0.4275,-0.093,0.4766,-0.0618,4.3969,-3.7939,1.771,0.019,0.4709,-0.1677,13.5191,-8.6718,15.5191,0.0308,0.6243,-0.4124,7.4656,0.1527,10.916,0.3445,0.3333,-1.0349,8.6641,22.1679,1.084,0.1104,0.0498,-0.9099,8.4122,45.7328,-19.6336,-0.3081,0.0217,-1.0281,-0.7405,58.145,-31.1145,-0.8218,0.0452,-0.9229,0.5496,73.3588,-51.2977,-1.1865,-0.1494,-1.063,-7.7557,30.6489,-30.6565,-1.3362,0.3906,0.116,-15.2595,18.9847,-32.2748,-0.623,0.1885,-0.1423,-1.0992,18.6718,-18.4962,-0.8538,0.5459,0.2175,-2.3969,0.8855,-10.5191,-0.6047,0.5095,0.0447,1.9084,-2.8168,2.5802,-0.4419,0.4768,-0.0725
-0.4198,0.8779,0.229,0.0583,0.4792,-0.1765,0.1985,0.5496,0.5649,0.0452,0.4788,-0.1741,0.1374,0.6947,0.4656,0.0598,0.4763,-0.1777,-0.1221,0.3282,0.4427,0.0312,0.4771,-0.1592,-0.3664,-0.2214,-0.0458,0.0522,0.4688,-0.144,-0.1985,-0.9389,0.2214,0.0491,0.4846,-0.1584,0.0534,-2.7023,0.4275,0.0654,0.4614,-0.1602,-0.5649,-2.7634,0.6412,0.1819,0.3601,-0.3787,4.5496,0.0687,2.5573,0.3523,0.3298,-0.7783,5.3511,16.9618,-1.7023,0.1768,0.3149,-0.9382,2.0076,31.7328,-10.7863,-0.0293,0.0864,-1.0239,5.8702,47.771,-20.2672,-0.5671,0.239,-0.9553,-9.0153,62.7099,-36.9466,-1.0039,-0.1831,-0.8928,-18.2672,56.2824,-44.0153,-1.5864,0.0322,-0.0894,-8.5954,36.2748,-25.0,-1.1416,0.2861,-0.0706,-7.9847,26.771,-24.8397,-0.7278,0.0515,-0.0349,0.7328,14.8321,-8.3969,-0.9871,0.5217,0.3779
-0.3206,0.4656,0.0611,-0.0146,0.4749,-0.1562,-0.5496,0.3588,0.0076,-0.009,0.4854,-0.1606,-0.3435,0.3053,-0.084,-0.0266,0.4873,-0.1516,0.1145,-0.1221,0.1374,-0.0237,0.4902,-0.1174,-0.0763,-1.4351,0.1221,0.0117,0.4744,-0.1477,-0.3435,-2.145,0.8931,0.0183,0.4778,-0.189,4.229,-5.0611,8.4351,0.0906,0.5696,-0.2729,7.1221,-3.9466,8.771,0.2656,0.2815,-0.7454,12.3893,7.8626,3.3053,0.2368,0.1704,-1.0493,10.1374,31.4504,-9.8626,-0.1257,0.0701,-0.9363,0.9313,43.1527,-29.0382,-0.5281,0.157,-0.8091,-10.9847,48.2824,-36.6031,-0.8545,-0.0334,-0.6575,-26.084,56.7634,-54.0687,-0.9031,-0.2129,-0.8665,-11.0305,42.8473,-35.6565,-1.4265,0.2185,0.146,-21.2672,33.8702,-35.9771,-1.0098,-0.0681,-0.0852,-11.5038,17.229,-11.5038,-1.0518,0.3679,0.3691,-5.4656,5.7786,-4.2748,-0.6675,0.3452,0.0969
0.7481,-1.1985,-0.4427,0.0156,0.4922,-0.1865,1.1298,-1.6107,0.2443,0.0151,0.5137,-0.1763,0.1908,-0.0992,0.084,0.0046,0.509,-0.2002,0.1221,0.0305,0.229,-0.021,0.4949,-0.1394,-0.4427,0.4885,-0.0992,-0.0049,0.4612,-0.1245,-0.0916,-0.4427,0.145,-0.0093,0.48,-0.1348,1.5802,-1.4427,0.458,0.052,0.4629,-0.156,3.8321,-4.5191,3.3664,0.1147,0.4426,-0.209,10.0153,-5.6794,9.8931,0.1433,0.5159,-0.3582,6.2748,2.9847,2.145,0.3064,0.241,-0.8054,4.1374,16.7176,-8.3893,0.1174,0.2375,-0.8032,4.2748,27.5878,-15.1985,-0.1704,0.1699,-0.7815,-5.2214,38.4733,-21.6565,-0.5706,0.3181,-0.5696,-11.0611,37.2137,-25.5573,-0.7788,0.2498,-0.0923,-7.5496,38.0916,-30.6565,-0.4878,0.1616,-0.3337,-12.1985,30.1679,-26.9695,-0.7166,0.3413,-0.1912,-11.8244,27.6641,-20.8092,-0.7061,0.4009,-0.0103
