0.229,0.0992,0.1527,0.2383,0.0481,0.4099
0.2214,0.3893,0.1374,0.2563,0.0376,0.3865
-1.1221,0.1145,0.7557,0.2444,0.0203,0.3701
-0.3893,1.9008,-0.3053,0.2688,0.0237,0.2664
-0.8473,5.5115,0.1221,0.2617,0.0974,0.147
-3.7176,10.7328,2.2061,0.1777,0.1125,-0.0781
-2.4962,22.2748,1.4962,0.231,0.0881,-0.4817
6.084,51.8015,7.7328,-0.1714,0.0867,-0.6594
15.6107,66.3893,4.542,-0.7498,0.0151,-0.4395
4.4122,55.2824,-9.6641,-1.7332,0.0867,0.0698
-3.6489,23.6489,-7.7634,-1.5078,0.1621,0.4927
-3.5725,10.1069,-0.3511,-1.1516,0.1018,0.5588
2.4962,4.3588,5.1832,-0.752,-0.0596,0.4141
-2.7634,0.0763,0.5191,-0.7119,0.0295,0.2239
1.8855,-2.7328,3.7481,-0.5933,0.0649,0.0691
0.5725,-4.0153,1.7557,-0.5181,0.0396,0.0493
-0.1145,-3.855,1.7634,-0.4834,0.0747,-0.0059
