0.1069,0.4122,0.1069,0.2366,-0.0298,0.396
-0.3893,0.6794,-0.2443,0.2476,-0.0212,0.4041
-0.1069,0.542,0.3435,0.2266,-0.0154,0.4277
-0.2519,0.2443,0.2901,0.2317,0.0139,0.4263
-0.9771,0.0763,-0.2595,0.2363,-0.05,0.4067
-0.8855,1.313,-0.687,0.2261,0.0195,0.3616
-1.2137,3.8244,-0.4046,0.2537,-0.0339,0.3408
-2.6031,7.8855,-1.8168,0.2056,0.0195,0.3103
-1.2443,11.9466,2.1221,0.2551,-0.031,-0.0623
4.3359,21.2824,0.2977,0.1743,-0.0369,-0.1492
10.5267,43.5344,6.3969,0.0549,0.1687,-0.4341
4.7099,53.5344,4.1374,-0.1584,0.2014,-0.6658
-1.6336,55.855,-4.6183,-1.0383,-0.0657,-0.4026
-0.5802,31.3435,-0.6489,-1.731,0.0483,0.3445
-5.0229,17.6641,-3.0458,-1.3325,0.0667,0.29
-2.0992,5.3588,1.7863,-0.9229,-0.071,0.2231
0.2901,6.9924,0.916,-0.7927,-0.103,0.2334
