-1.6107,-0.3969,-0.2137,0.0735,-0.1006,0.4783
-0.5038,0.6565,-0.7557,0.1267,-0.0549,0.4124
-0.1756,-1.687,-0.2977,0.075,-0.0793,0.5212
-2.0153,-1.3664,-1.0534,0.1643,-0.0667,0.4031
-0.6412,-0.5725,-0.7328,0.1094,-0.0959,0.4956
-0.7786,-2.2748,-1.0611,0.1499,-0.041,0.3569
1.7176,-3.542,-1.3893,0.1047,-0.1194,0.2024
2.5573,9.6947,-7.2214,0.1055,-0.0361,-0.3137
8.9771,20.6565,-2.7557,-0.0981,-0.1992,-0.0171
10.7023,21.8779,-4.3053,-0.1436,0.1243,0.0732
12.0534,19.9084,-4.2366,-0.3508,0.3267,0.4106
10.4656,19.3817,-1.9542,-0.3652,0.1768,0.5928
11.5802,15.7099,-4.9466,-0.3618,0.4641,0.5933
12.7481,21.5344,-0.3893,-0.2634,0.1614,0.3608
5.7786,21.7176,-0.5496,-0.5776,0.4937,0.4958
9.0763,20.2977,1.2977,-0.542,0.3691,0.332
3.229,13.5802,0.7557,-0.469,0.1541,0.3259
