-1.8855,-1.0076,0.916,0.3662,0.0271,-0.1619
0.8397,1.7786,0.9389,0.4131,-0.0327,-0.061
-1.0992,5.4809,0.855,0.479,-0.0596,-0.0637
0.7786,7.0916,1.0382,0.4685,0.0049,-0.0693
-0.2519,17.2748,4.145,0.3916,0.0427,-0.2073
5.8702,28.6031,4.7481,0.2361,-0.0232,-0.3364
5.7099,46.8473,6.7481,-0.0273,0.1453,-0.3203
-1.3664,48.5725,6.3206,-0.3015,-0.1855,-0.0774
-7.5191,35.916,6.084,-0.782,0.1084,0.4778
-1.9389,41.9847,10.0534,-0.8418,-0.1479,0.3394
0.4122,37.7557,6.3053,-0.8857,0.0027,0.5562
1.0,24.4809,3.4351,-0.9036,-0.0757,0.5535
-2.0916,21.0076,3.0763,-0.7261,-0.1021,0.3542
-8.3435,-14.8779,-3.374,-0.8145,-0.3752,0.7092
0.3435,-0.3511,-1.0992,-0.4407,-0.0151,0.0588
2.8931,5.0992,2.9924,-0.4753,-0.0405,0.1292
1.2061,4.1832,2.3511,-0.4592,-0.0242,0.0662
